"Year","Never_Return","Return_Month_3","Return_Month_6","Natural_Course"
2.66666666666667,1.98078667858979,10.3291652406995,8.3920543511113,5.42663180544158
2.75,2.02655836905412,10.4370884853848,8.5055459691079,5.50484051021194
2.83333333333333,2.07158318711766,10.5417948418619,8.61564438655557,5.58112395728931
2.91666666666667,2.11588038413258,10.6436013256091,8.7226838371159,5.65558687935741
3,2.15946911095428,10.7427928651738,8.82696467763592,5.72842318579128
3.08333333333333,2.20236840767327,10.8396258737314,8.92875716496584,5.79981684125599
3.16666666666667,2.24459719459151,10.9343313113023,9.02830469368483,5.8698095678809
3.25,2.28617426440184,11.027117312752,9.12582657439919,5.93854689343358
3.33333333333333,2.32711827553018,11.1181714445161,9.22152041932901,6.00609039834793
3.41666666666667,2.36744774660145,11.2076626430042,9.31556419129663,6.07260550589847
3.5,2.40718105199097,11.2957428794422,9.40811796352917,6.13814410587782
3.58333333333333,2.44633641842498,11.3825485891715,9.49932543053414,6.20275066388888
3.66666666666667,2.4849319225951,11.4682018978733,9.58931520441888,6.2665361023952
3.75,2.52298548975336,11.5528116726129,9.67820192617296,6.32952013265554
3.83333333333333,2.56051489325605,11.6364744218306,9.76608721743549,6.3918160168229
3.91666666666667,2.59753775502669,11.7192750652998,9.85306049497537,6.45344071524204
4,2.63407154691034,11.8012875925146,9.93919966740068,6.51451121422936
4.08333333333333,2.67013359289332,11.882575625869,10.0245717313829,6.57502557625088
4.16666666666667,2.70574107216496,11.9631929032604,10.1092332828483,6.63500597077669
4.25,2.740911023,12.0431836933296,10.193230957083,6.69451378614181
4.33333333333333,2.77566034744264,12.1225831553869,10.2766018104596,6.75356524989301
4.41666666666667,2.8100058167757,12.20141765511,10.3593736554724,6.81220171495899
4.5,2.84396407776101,12.2797050463018,10.4415653599189,6.87041144180438
4.58333333333333,2.87755165963959,12.357454928323,10.5231871203498,6.92818864875279
4.66666666666667,2.91078498188301,12.434668888238,10.6042407192931,6.98550546945629
4.75,2.94368027277078,12.511342063452,10.6847211683284,7.04241548021739
4.83333333333333,2.9762532260636,12.5874686084375,10.7646224479719,7.09888172577201
4.91666666666667,3.00851893961918,12.6630430384051,10.8439389181519,7.15492427473112
5,3.04049194409745,12.7380602241024,10.922665312594,7.21053147343401
5.08333333333333,3.07218622997893,12.8125153864287,11.0007967330182,7.26572302691412
5.16666666666667,3.10361527299956,12.8864040908787,11.0783286431627,7.32052815277959
5.25,3.13479205809711,12.9597222418307,11.1552568626467,7.37491259030051
5.33333333333333,3.16572910195857,13.0324660766897,11.2315775606888,7.42890296147457
5.41666666666667,3.19643847425121,13.1046321599001,11.3072872496907,7.48246253429754
5.5,3.2269318176144,13.1762173768387,11.3823827787031,7.53562708074095
5.58333333333333,3.25722036648438,13.2472189276018,11.4568613267834,7.58837498257843
5.66666666666667,3.28731496481874,13.3176343206971,11.530720396259,7.64072560692507
5.75,3.31722608278331,13.3874613666515,11.6039578059084,7.69270604723696
5.83333333333333,3.34696383245987,13.4566981715468,11.6765716840702,7.74433145217076
5.91666666666667,3.37653798262907,13.525343130493,11.7485604616926,7.79557407277612
6,3.40595797267942,13.5933949210501,11.8199228653336,7.8464342962875
6.08333333333333,3.43523292569021,13.6608524966088,11.8906579101222,7.89691801381375
6.16666666666667,3.4643716607324,13.7277150797374,11.9607648926906,7.94701129246295
6.25,3.4933827044295,13.793982155508,12.0302433840875,7.99673850272988
6.33333333333333,3.52227430181723,13.8596534648068,12.0990932226812,8.0460766984683
6.41666666666667,3.55105442653831,13.92472899764,12.1673145070614,8.09502654511369
6.5,3.57973079040691,13.9892089864417,12.2349075889483,8.14361800376419
6.58333333333333,3.60831085237456,14.0530938993928,12.3018730661177,8.19183093036623
6.66666666666667,3.63680182692766,14.1163844337569,12.3682117753481,8.23966683762428
6.75,3.66521069194502,14.1790815092422,12.4339247853993,8.2871383618498
6.83333333333333,3.69354419604183,14.2411862613943,12.4990133900279,8.33424239485084
6.91666666666667,3.72180886542517,14.3027000350276,12.5634791010473,8.38099666558758
7,3.75001101028448,14.3636243777009,12.6273236414374,8.42739867618687
7.08333333333333,3.7781567307394,14.4239610332427,12.6905489385113,8.47344612618558
7.16666666666667,3.80625192236566,14.4837119353324,12.7531571171437,8.51914348416637
7.25,3.83430228131901,14.5428792011416,12.8151504930663,8.56449343968965
7.33333333333333,3.86231330907585,14.6014651250417,12.8765315662358,8.60949945691832
7.41666666666667,3.89029031680814,14.65947217238,12.937303014278,8.65416671318566
7.5,3.91823842940972,14.716902973332,12.9974676860139,8.69849609807694
7.58333333333333,3.94616258918971,14.7737603168296,13.0570285950701,8.7424928262768
7.66666666666667,3.97406755924837,14.8300471445733,13.1159889135787,8.78615984222434
7.75,4.00195792654997,14.8857665451282,13.1743519659692,8.82951040025879
7.83333333333333,4.02983810470624,14.9409217481086,13.2321212228565,8.87254474841606
7.91666666666667,4.05771233648414,14.9955161184553,13.2893002950267,8.91526476729622
8,4.0855846960502,15.0495531508044,13.3458929275243,8.95767107241029
8.08333333333333,4.11345909096401,15.1030364639552,13.4019029938433,8.99977120618924
8.16666666666667,4.14133926393246,15.1559697954347,13.457334490224,9.04156750767934
8.25,4.16922879433629,15.2083569961635,13.512191530057,9.08306210102173
8.33333333333333,4.19713109953979,15.2602020252242,13.5664783383972,9.12425898070939
8.41666666666667,4.22504943599464,15.3115089447332,13.6201992465887,9.16516341721416
8.5,4.25298690014816,15.3622819148181,13.6733586870023,9.2057801953081
8.58333333333333,4.28094642916614,15.4125251887014,13.7259611878853,9.24611789621363
8.66666666666667,4.30893080148048,15.4622431078915,13.7780113683274,9.28618018597794
8.75,4.33694263717113,15.5114400974825,13.8295139333402,9.32596609018199
8.83333333333333,4.36498439819228,15.5601206615618,13.8804736690534,9.36547989289024
8.91666666666667,4.39305838845218,15.6082893787284,13.9308954380267,9.40472409720206
9,4.42116675375592,15.65595089772,13.9807841746783,9.4437011567546
9.08333333333333,4.44931148162088,15.7031099331499,14.0301448808295,9.48241478550581
9.16666666666667,4.47749440097368,15.7497712613552,14.0789826213667,9.52087157227055
9.25,4.50571718173831,15.795939716353,14.1273025200189,9.55907216771474
9.33333333333333,4.53398133432432,15.841620185908,14.1751097552515,9.59702014852432
9.41666666666667,4.56228820902468,15.8868176077085,14.2224095562759,9.63471991449401
9.5,4.59063899533217,15.931536965652,14.2692071991745,9.67217404772236
9.58333333333333,4.61903472118401,15.9757832862387,14.3155080031395,9.70938596608368
9.66666666666667,4.64747625214361,16.0195616350734,14.3613173268262,9.74635902985236
9.75,4.67596429052922,16.0628771134744,14.406640564819,9.7830965394428
9.83333333333333,4.70449937449867,16.1057348551884,14.4514831442093,9.81960173318982
9.91666666666667,4.73308187709977,16.1481400232114,14.4958505212851,9.85587870536719
10,4.76171200529591,16.1900978067141,14.5397481783303,9.89193003963216
