municipality,ibge_tipo,geo_class,geo4,cd_gcmun
INDIAPORA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3520707
CEDRAL,Urbano,Urbano,Urbano,3511300
URANIA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3555802
JAGUARIUNA,Urbano,Urbano,Urbano,3524709
MATAO,Urbano,Urbano,Urbano,3529302
ARARAQUARA,Urbano,Urbano,Urbano,3503208
SANTA ALBERTINA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3545704
SANTA CLARA D OESTE,Urbano,Urbano,Urbano,3546108
SANTA RITA D'OESTE,Urbano,Urbano,Urbano,3547403
CAPAO BONITO,Urbano,Urbano,Urbano,3510203
CESARIO LANGE,RuralAdjacente,RuralAdjacente,RuralAdjacente,3511607
SARAPUI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3551108
RIBEIRAO GRANDE,RuralAdjacente,RuralAdjacente,RuralAdjacente,3543253
PIRATININGA,Urbano,Urbano,Urbano,3539400
SAO MIGUEL ARCANJO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3550209
BALBINOS,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3504701
PALMEIRA D'OESTE,RuralAdjacente,RuralAdjacente,RuralAdjacente,3535200
TAQUARITUBA,Urbano,Urbano,Urbano,3553807
LARANJAL PAULISTA,Urbano,Urbano,Urbano,3526407
ANHEMBI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3502309
CONCHAS,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3512308
PARANAPANEMA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3535804
TAGUAI,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3553005
PONTALINDA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3540259
PINDAMONHANGABA,Urbano,Urbano,Urbano,3538006
ROSANA,Urbano,Urbano,Urbano,3544251
ALVARES MACHADO,Urbano,Urbano,Urbano,3501301
MARTINOPOLIS,Urbano,Urbano,Urbano,3529203
PIRAPOZINHO,Urbano,Urbano,Urbano,3539202
TARABAI,Urbano,Urbano,Urbano,3553906
PANORAMA,Urbano,Urbano,Urbano,3535408
SANTO ANASTACIO,Urbano,Urbano,Urbano,3547700
PORANGABA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3540507
GUAIMBE,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3517307
SANTO EXPEDITO,Urbano,Urbano,Urbano,3548302
REGENTE FEIJO,Urbano,Urbano,Urbano,3542404
CUNHA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3513603
QUELUZ,RuralAdjacente,RuralAdjacente,RuralAdjacente,3541901
POTIM,Urbano,Urbano,Urbano,3540754
PIQUETE,Urbano,Urbano,Urbano,3538501
ITIRAPUA,Urbano,Urbano,Urbano,3523701
RESTINGA,Urbano,Urbano,Urbano,3542701
RIO CLARO,Urbano,Urbano,Urbano,3543907
PIRACICABA,Urbano,Urbano,Urbano,3538709
CHARQUEADA,Urbano,Urbano,Urbano,3511706
SALTINHO,Urbano,Urbano,Urbano,3545159
LORENA,Urbano,Urbano,Urbano,3527207
CAPIVARI,Urbano,Urbano,Urbano,3510401
SANTA GERTRUDES,Urbano,Urbano,Urbano,3546702
CORDEIROPOLIS,Urbano,Urbano,Urbano,3512407
TIETE,Urbano,Urbano,Urbano,3554508
RAFARD,Urbano,Urbano,Urbano,3542107
BOITUVA,Urbano,Urbano,Urbano,3507001
TORRINHA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3554706
LAVRINHAS,Urbano,Urbano,Urbano,3526605
CONCHAL,Urbano,Urbano,Urbano,3512209
MOMBUCA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3530904
BANANAL,RuralAdjacente,RuralAdjacente,RuralAdjacente,3504909
ARTUR NOGUEIRA,Urbano,Urbano,Urbano,3503802
SAO PEDRO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3550407
SANTA BRANCA,Urbano,Urbano,Urbano,3546009
SANTA ROSA DE VITERBO,Urbano,Urbano,Urbano,3547601
GUARANTA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3518107
TAQUARAL,RuralAdjacente,RuralAdjacente,RuralAdjacente,3553658
JABORANDI,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3524204
TERRA ROXA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3554409
IPAUSSU,Urbano,Urbano,Urbano,3520905
MONTE AZUL PAULISTA,Urbano,Urbano,Urbano,3531506
CANITAR,Urbano,Urbano,Urbano,3510153
PRADOPOLIS,Urbano,Urbano,Urbano,3540903
NOVA GRANADA,Urbano,Urbano,Urbano,3533007
CAJOBI,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3509304
SANTA ERNESTINA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3546504
CATIGUA,Urbano,Urbano,Urbano,3511201
ARARAS,Urbano,Urbano,Urbano,3503307
CANDIDO MOTA,Urbano,Urbano,Urbano,3510005
PALMITAL,Urbano,Urbano,Urbano,3535309
PARAGUACU PAULISTA,Urbano,Urbano,Urbano,3535507
ITAJU,RuralAdjacente,RuralAdjacente,RuralAdjacente,3522000
GUARA,Urbano,Urbano,Urbano,3517703
