municipality,ibge_tipo,geo_class,geo4,cd_gcmun
RIOLANDIA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3544202
POTIRENDABA,Urbano,Urbano,Urbano,3540804
MACAUBAL,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3528106
NHANDEARA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3532603
TABAPUA,Urbano,Urbano,Urbano,3552601
NOVO HORIZONTE,Urbano,Urbano,Urbano,3533502
AMERICO DE CAMPOS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3501806
TANABI,Urbano,Urbano,Urbano,3553401
MACEDONIA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3528205
PAULO DE FARIA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3536604
NOVA LUZITANIA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3533304
IBIRA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3519402
NOVA ALIANCA,Urbano,Urbano,Urbano,3532801
UCHOA,Urbano,Urbano,Urbano,3555604
UBARANA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3555356
RUBINEIA,Urbano,Urbano,Urbano,3544509
PALESTINA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3535002
IRAPUA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3521507
TEODORO SAMPAIO,Urbano,Urbano,Urbano,3554300
OURO VERDE,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3534807
TUPI PAULISTA,Urbano,Urbano,Urbano,3555109
TAPIRAI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3553500
RANCHARIA,Urbano,Urbano,Urbano,3542206
ALAMBARI,Urbano,Urbano,Urbano,3500758
SANTA MERCEDES,RuralAdjacente,RuralAdjacente,RuralAdjacente,3547106
SAO SEBASTIAO DA GRAMA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3550803
PIQUEROBI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3538303
PRESIDENTE BERNARDES,Urbano,Urbano,Urbano,3541208
SANDOVALINA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3545506
QUATA,Urbano,Urbano,Urbano,3541703
NARANDIBA,Urbano,Urbano,Urbano,3532207
ALFREDO MARCONDES,Urbano,Urbano,Urbano,3500808
MARABA PAULISTA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3528700
IPUA,Urbano,Urbano,Urbano,3521309
ESTIVA GERBI,Urbano,Urbano,Urbano,3557303
ESPIRITO SANTO DO TURVO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3515194
CHAVANTES,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3557204
MANDURI,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3528601
TAPIRATIBA,Urbano,Urbano,Urbano,3553609
AGUAS DA PRATA,Urbano,Urbano,Urbano,3500402
LUTECIA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3527900
ARANDU,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3503109
BORACEIA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3507308
PONTES GESTAL,RuralAdjacente,RuralAdjacente,RuralAdjacente,3540309
SANTO ANTONIO DO JARDIM,RuralAdjacente,RuralAdjacente,RuralAdjacente,3548104
ORINDIUVA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3534203
RINCAO,Urbano,Urbano,Urbano,3543709
ITAPURA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3523008
SEVERINIA,Urbano,Urbano,Urbano,3551900
MENDONCA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3529500
SANTO ANTONIO DO ARACANGUA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3548054
TORRE DE PEDRA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3554656
VITORIA BRASIL,RuralAdjacente,RuralAdjacente,RuralAdjacente,3556958
MESOPOLIS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3529658
NAZARE PAULISTA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3532405
SANTA SALETE,RuralAdjacente,RuralAdjacente,RuralAdjacente,3547650
MERIDIANO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3529609
SAO JOAO DAS DUAS PONTES,RuralAdjacente,RuralAdjacente,RuralAdjacente,3549201
GLICERIO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3517109
DOBRADA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3514007
TAIUVA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3553203
NATIVIDADE DA SERRA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3532306
CANAS,Urbano,Urbano,Urbano,3509957
ALTO ALEGRE,RuralAdjacente,RuralAdjacente,RuralAdjacente,3501103
ALTAIR,RuralAdjacente,RuralAdjacente,RuralAdjacente,3500907
PIACATU,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3537701
DOURADO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3514304
RIBEIRAO BONITO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3542909
QUADRA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3541653
CAMPINA DO MONTE ALEGRE,RuralAdjacente,RuralAdjacente,RuralAdjacente,3509452
ONDA VERDE,RuralAdjacente,RuralAdjacente,RuralAdjacente,3534005
SABINO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3544608
SAO LOURENCO DA SERRA,Urbano,Urbano,Urbano,3549953
PONGAI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3540101
FERNANDO PRESTES,RuralAdjacente,RuralAdjacente,RuralAdjacente,3515608
VISTA ALEGRE DO ALTO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3556909
SANTA LUCIA,Urbano,Urbano,Urbano,3546900
LUIZIANIA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3527702
BURITIZAL,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3508207
CAMPOS NOVOS PAULISTA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3509809
ITOBI,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3523800
LUPERCIO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3527801
POPULINA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3540408
AGUAS DE SAO PEDRO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3500600
ROSEIRA,Urbano,Urbano,Urbano,3544301
SAO JOSE DO BARREIRO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3549607
MINEIROS DO TIETE,Urbano,Urbano,Urbano,3529807
ZACARIAS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3557154
SANTA ADELIA,Urbano,Urbano,Urbano,3545605
MAGDA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3528304
BALSAMO,Urbano,Urbano,Urbano,3504800
PIRANGI,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3539004
NOVAIS,Urbano,Urbano,Urbano,3533254
PARISI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3536257
CANDIDO RODRIGUES,RuralAdjacente,RuralAdjacente,RuralAdjacente,3510104
CAIABU,Urbano,Urbano,Urbano,3508900
POLONI,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3539905
SEBASTIANOPOLIS DO SUL,RuralAdjacente,RuralAdjacente,RuralAdjacente,3551306
PLANALTO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3539608
RUBIACEA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3544400
CORUMBATAI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3512704
CASSIA DOS COQUEIROS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3510906
BARBOSA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3505104
URUPES,Urbano,Urbano,Urbano,3556008
ADOLFO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3500204
LUIS ANTONIO,Urbano,Urbano,Urbano,3527603
IARAS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3519253
PRATANIA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3541059
ARCO-IRIS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3503356
ARAPEI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3503158
GABRIEL MONTEIRO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3516507
OSCAR BRESSANE,RuralAdjacente,RuralAdjacente,RuralAdjacente,3534500
NOVA INDEPENDENCIA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3533205
SUZANAPOLIS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3552551
URU,RuralAdjacente,RuralAdjacente,RuralAdjacente,3555901
INUBIA PAULISTA,Urbano,Urbano,Urbano,3520806
RIBEIRAO DO SUL,RuralAdjacente,RuralAdjacente,RuralAdjacente,3543204
NUPORANGA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3533601
SANTA CRUZ DA ESPERANCA,Urbano,Urbano,Urbano,3546256
SAO JOSE DA BELA VISTA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3549508
MONTEIRO LOBATO,Urbano,Urbano,Urbano,3531704
NANTES,RuralAdjacente,RuralAdjacente,RuralAdjacente,3532157
NIPOA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3532702
GUATAPARA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3518859
JERIQUARA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3525409
SALES,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3544806
MARAPOAMA,Urbano,Urbano,Urbano,3528858
RIBEIRAO DOS INDIOS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3543238
INDIANA,Urbano,Urbano,Urbano,3520608
GAVIAO PEIXOTO,Urbano,Urbano,Urbano,3516853
CLEMENTINA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3511904
SAO JOAO DE IRACEMA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3549250
DIRCE REIS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3513850
ANHUMAS,Urbano,Urbano,Urbano,3502408
BOREBI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3507456
ICEM,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3519808
MARIAPOLIS,Urbano,Urbano,Urbano,3528908
BILAC,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3506409
FERNAO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3515657
ELISIARIO,Urbano,Urbano,Urbano,3514924
TAIACU,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3553104
EUCLIDES DA CUNHA PAULISTA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3515350
REDENCAO DA SERRA,Urbano,Urbano,Urbano,3542305
ASPASIA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3503950
EMBAUBA,Urbano,Urbano,Urbano,3514957
ITAPIRAPUA PAULISTA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3522653
CRUZALIA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3513306
ESTRELA DO NORTE,Urbano,Urbano,Urbano,3515301
JAMBEIRO,Urbano,Urbano,Urbano,3524907
MURUTINGA DO SUL,RuralAdjacente,RuralAdjacente,RuralAdjacente,3532108
ALVARES FLORENCE,RuralAdjacente,RuralAdjacente,RuralAdjacente,3501202
GASTAO VIDIGAL,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3516804
ANALANDIA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3502002
BOM SUCESSO DE ITARARE,RuralAdjacente,RuralAdjacente,RuralAdjacente,3507159
SAO JOSE DO RIO*,Urbano,Urbano,Urbano,
MONCOES,RuralAdjacente,RuralAdjacente,RuralAdjacente,3531001
PATROCINIO PAULISTA,Urbano,Urbano,Urbano,3536307
SANTA CRUZ DA CONCEICAO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3546207
ITAOCA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3522158
FLOREAL,RuralAdjacente,RuralAdjacente,RuralAdjacente,3515905
CABRALIA PAULISTA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3508306
APARECIDA D OESTE,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3502606
NOVA CANAA PAULISTA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3532843
PARAISO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3535705
EMILIANOPOLIS,Urbano,Urbano,Urbano,3515129
SANTO ANTONIO DO PINHAL,RuralAdjacente,RuralAdjacente,RuralAdjacente,3548203
TRABIJU,RuralAdjacente,RuralAdjacente,RuralAdjacente,3554755
FLORA RICA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3515806
GUARANI D'OESTE,RuralAdjacente,RuralAdjacente,RuralAdjacente,3518008
JOAO RAMALHO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3525607
JUMIRIM,RuralAdjacente,RuralAdjacente,RuralAdjacente,3525854
MOTUCA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3532058
PAULISTANIA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3536570
NOVA GUATAPORANGA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3533106
DOLCINOPOLIS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3514205
PEDRINHAS PAULISTA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3537156
LOURDES,RuralAdjacente,RuralAdjacente,RuralAdjacente,3527256
RIBEIRAO CORRENTE,Urbano,Urbano,Urbano,3543105
