"model","term","estimate","p_value"
"Cox_Death_Unadjusted","tx_month_grp≥ 4 months","0.42 (0.36-0.50)","<0.001"
"FG_Retr_Unadjusted","age_group25-44","1.14 (1.08-1.19)","<0.001"
"FG_Retr_Unadjusted","age_group45-64","1.02 (0.95-1.09)","0.614"
"FG_Retr_Unadjusted","age_group≥65","0.65 (0.56-0.76)","<0.001"
"FG_Retr_Unadjusted","sexMale","0.98 (0.93-1.03)","0.363"
"FG_Retr_Unadjusted","race_cleanBlack or Mixed","1.08 (1.03-1.13)","0.001"
"FG_Retr_Unadjusted","race_cleanOther","0.73 (0.54-0.99)","0.040"
"FG_Retr_Unadjusted","edu_clean8 - 11 years","1.23 (1.09-1.39)","0.002"
"FG_Retr_Unadjusted","edu_cleanNone","1.31 (1.10-1.55)","0.002"
"FG_Retr_Unadjusted","edu_clean≤ 7 years","1.39 (1.23-1.56)","<0.001"
"FG_Retr_Unadjusted","hiv_aidsPositive","1.61 (1.52-1.70)","<0.001"
"FG_Retr_Unadjusted","diabetesYes","0.93 (0.84-1.04)","0.213"
"FG_Retr_Unadjusted","alcoholYes","1.28 (1.23-1.34)","<0.001"
"FG_Retr_Unadjusted","drug_useYes","1.41 (1.35-1.47)","<0.001"
"FG_Retr_Unadjusted","incarceratedYes","0.80 (0.73-0.87)","<0.001"
"FG_Retr_Unadjusted","homelessnessYes","1.16 (1.09-1.23)","<0.001"
"FG_Retr_Unadjusted","hosp_admissionYes","1.87 (1.79-1.94)","<0.001"
"FG_Retr_Unadjusted","clinical_cleanExtrapulmonary","0.68 (0.63-0.73)","<0.001"
"FG_Retr_Unadjusted","clinical_cleanPulmonary and Extrapulmonary or disseminated","1.07 (0.95-1.21)","0.235"
"FG_Retr_Unadjusted","dot_statusYes","1.03 (0.98-1.08)","0.182"
"FG_Retr_Unadjusted","tx_month_grp1 to <2 months","1.49 (1.37-1.63)","<0.001"
"FG_Retr_Unadjusted","tx_month_grp2 to <4 months","1.16 (1.07-1.26)","<0.001"
"FG_Retr_Unadjusted","tx_month_grp≥ 4 months","0.59 (0.54-0.64)","<0.001"
